group,Distance*,L(d),Diff,Min L(d),Max L(d)
Redtail DBH delta < 5,19.97,31.07,11.10,17.63,21.64
Redtail DBH delta < 5,39.94,52.86,12.91,36.70,40.36
Redtail DBH delta < 5,59.91,72.66,12.74,55.00,58.89
Redtail DBH delta < 5,79.89,92.06,12.17,72.15,76.96
Redtail DBH delta < 5,99.86,110.23,10.37,88.34,94.66
Redtail DBH delta < 5,119.83,128.45,8.62,104.06,111.37
Redtail DBH delta < 5,139.80,144.10,4.30,118.51,126.97
Redtail DBH delta < 5,159.77,159.18,-0.59,132.41,141.92
Redtail DBH delta < 5,179.74,174.10,-5.64,145.17,155.77
Redtail DBH delta < 5,199.72,188.49,-11.22,157.15,169.12
Caffey  DBH delta < 5,22.95,43.31,20.37,18.37,25.98
Caffey  DBH delta < 5,45.89,67.43,21.53,40.23,49.92
Caffey  DBH delta < 5,68.84,89.89,21.05,60.28,69.39
Caffey  DBH delta < 5,91.79,107.36,15.57,79.21,90.66
Caffey  DBH delta < 5,114.74,123.80,9.07,96.19,110.09
Caffey  DBH delta < 5,137.68,137.01,-0.67,112.46,128.64
Caffey  DBH delta < 5,160.63,149.55,-11.08,128.29,146.74
Caffey  DBH delta < 5,183.58,160.72,-22.86,143.69,164.32
Caffey  DBH delta < 5,206.52,169.93,-36.59,158.20,179.37
Caffey  DBH delta < 5,229.47,177.37,-52.11,171.13,192.48
