LID , TYPE , PLAND , NP , AREA_MN , PARA_MN
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_9 ,      27.4381 ,      54.0000 ,      35.1500 ,     318.0972
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_17 ,       1.6197 ,     364.0000 ,       0.3078 ,    1171.9867
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_8 ,      14.2941 ,     111.0000 ,       8.9084 ,     359.9541
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_7 ,      13.1661 ,      99.0000 ,       9.2000 ,     364.7772
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_1 ,       4.4650 ,      33.0000 ,       9.3600 ,     289.6156
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_6 ,       1.4896 ,      28.0000 ,       3.6804 ,     617.4775
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_16 ,       0.9601 ,       9.0000 ,       7.3800 ,     342.8927
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_19 ,       0.5516 ,       8.0000 ,       4.7700 ,     368.3372
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_10 ,      10.4574 ,      44.0000 ,      16.4414 ,     308.8637
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_2 ,       7.1776 ,      36.0000 ,      13.7925 ,     337.7013
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_5 ,       0.3552 ,      12.0000 ,       2.0475 ,     419.3893
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_4 ,       2.2299 ,      33.0000 ,       4.6745 ,     432.7712
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_18 ,       0.6011 ,       7.0000 ,       5.9400 ,     441.7351
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_3 ,       5.6138 ,      41.0000 ,       9.4720 ,     325.5111
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_13 ,       7.0709 ,      26.0000 ,      18.8135 ,     303.9843
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_15 ,       1.2672 ,      11.0000 ,       7.9691 ,     279.4812
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_14 ,       0.3539 ,       7.0000 ,       3.4971 ,     725.0182
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr30m.tif , cls_11 ,       0.8886 ,       3.0000 ,      20.4900 ,     412.7946
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_9 ,      27.2425 ,      48.0000 ,      39.2292 ,     240.9904
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_8 ,      14.2361 ,      96.0000 ,      10.2500 ,     267.7489
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_7 ,      13.0353 ,      87.0000 ,      10.3563 ,     279.8025
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_1 ,       4.3981 ,      32.0000 ,       9.5000 ,     255.8554
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_6 ,       1.5625 ,      18.0000 ,       6.0000 ,     278.7130
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_16 ,       0.9549 ,      10.0000 ,       6.6000 ,     306.3199
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_19 ,       0.6076 ,       9.0000 ,       4.6667 ,     271.2875
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_10 ,      10.5035 ,      40.0000 ,      18.1500 ,     265.5409
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_17 ,       1.7795 ,      85.0000 ,       1.4471 ,     379.4118
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_5 ,       0.3762 ,      11.0000 ,       2.3636 ,     330.3030
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_2 ,       7.2483 ,      27.0000 ,      18.5556 ,     238.8062
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_4 ,       2.2859 ,      27.0000 ,       5.8519 ,     306.7513
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_18 ,       0.6076 ,       7.0000 ,       6.0000 ,     295.1108
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_3 ,       5.5556 ,      38.0000 ,      10.1053 ,     241.4198
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_13 ,       7.1036 ,      26.0000 ,      18.8846 ,     253.5776
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_15 ,       1.2008 ,      10.0000 ,       8.3000 ,     250.5922
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_14 ,       0.3472 ,       5.0000 ,       4.8000 ,     354.0000
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr100m.tif , cls_11 ,       0.9549 ,       3.0000 ,      22.0000 ,     291.6667
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_7 ,      13.5714 ,      22.0000 ,      43.1818 ,      73.9394
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_8 ,      15.7143 ,      16.0000 ,      68.7500 ,      73.0089
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_1 ,       3.2143 ,       5.0000 ,      45.0000 ,      74.0000
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_9 ,      26.4286 ,      13.0000 ,     142.3077 ,      59.2032
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_16 ,       0.3571 ,       1.0000 ,      25.0000 ,      80.0000
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_10 ,      10.3571 ,      10.0000 ,      72.5000 ,      70.3333
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_2 ,       8.5714 ,       6.0000 ,     100.0000 ,      64.5455
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_4 ,       1.4286 ,       3.0000 ,      33.3333 ,      73.3333
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_6 ,       1.4286 ,       4.0000 ,      25.0000 ,      80.0000
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_5 ,       1.0714 ,       3.0000 ,      25.0000 ,      80.0000
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_13 ,       7.1429 ,      11.0000 ,      45.4545 ,      73.9394
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_15 ,       1.0714 ,       3.0000 ,      25.0000 ,      80.0000
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_3 ,       5.3571 ,       5.0000 ,      75.0000 ,      64.0000
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_17 ,       2.1429 ,       5.0000 ,      30.0000 ,      76.0000
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_19 ,       0.7143 ,       1.0000 ,      50.0000 ,      60.0000
C:\Users\Nelson\Documents\Projects\GitHub\REM429-LandscapeEcology\labs\7_fragstats\data\Lab7Data\smithcr500m.tif , cls_11 ,       1.4286 ,       2.0000 ,      50.0000 ,      66.6667
