"","patch.count.cover","patch.count.100m","patch.count.30m","patch.count.500m"
"1","Aspen woodland",10,11,3
"2","Grassland-Artr",9,8,1
"3","Low sagebrush steppe-Arar",32,33,5
"4","Low sagebrush steppe with young juniper-Arar",27,36,6
"5","Mountain big sagebrush steppe-Artr",18,28,4
"6","Mountain riparian",85,364,5
"7","Mountain shrub",7,7,0
"8","Old multi-story juniper woodland-Arar",11,12,3
"9","Old multi-story juniper woodland-Artr",40,44,10
"10","Old multi-story juniper woodland-Cele",5,7,0
"11","Open young juniper woodland-Arar",38,41,5
"12","Open young juniper woodland-Artr",96,111,16
"13","Sagebrush steppe with young juniper -Cele",3,3,2
"14","Sagebrush steppe with yourng juniper-Artr",87,99,22
"15","Wet meadow",10,9,1
"16","Young multi-story juniper woodland-Arar",27,33,3
"17","Young multi-story juniper woodland-Artr",48,54,13
"18","Young multi-story juniper woodland-Cele",26,26,11
