"","percent.landscape.cover","percent.landscape.1800","percent.landscape.1900","percent.landscape.2000"
"1","Aspen woodland",1.2672,1.2672,1.2672
"2","Grassland-Artr",0,0,0.5516
"3","Low sagebrush steppe-Arar",17.2565,17.2565,4.465
"4","Low sagebrush steppe with young juniper-Arar",0,0,7.1776
"5","Mountain big sagebrush steppe-Artr",29.5015,29.5015,1.4896
"6","Mountain riparian",1.6197,1.6197,1.6197
"7","Mountain shrub",0.6011,0.6011,0.6011
"8","Old multi-story juniper woodland-Arar",0.3552,0.3552,0.3552
"9","Old multi-story juniper woodland-Artr",10.4574,10.4574,10.4574
"10","Old multi-story juniper woodland-Cele",0.3539,0.3539,0.3539
"11","Open young juniper woodland-Arar",0,2.2299,5.6138
"12","Open young juniper woodland-Artr",0,27.4381,14.2941
"13","Open young woodland-Cele",7.0709,7.0709,0
"14","Sagebrush steppe or sagebrush with young juniper-Arar",2.2299,0,0
"15","Sagebrush steppe or sagebrush with young juniper-Artr",27.4381,0,0
"16","Sagebrush steppe with young juniper -Cele",0.8886,0.8886,0.8886
"17","Sagebrush steppe with yourng juniper-Artr",0,0,13.1661
"18","Wet meadow",0.9601,0.9601,0.9601
"19","Young multi-story juniper woodland-Arar",0,0,2.2299
"20","Young multi-story juniper woodland-Artr",0,0,27.4381
"21","Young multi-story juniper woodland-Cele",0,0,7.0709
